Category,Rarity,Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creature,1,MONKEY,BEAR,BIRD,OWL,CAT,CHEETAH,JAGUAR,LION,TIGER,COW,GOAT,DOG,COYOTE,WOLF,FOX,HORSE,KANGAROO,KOALA,OPOSSUM,BADGER,FERRET,PINE MARTEN,PANDA,RED PANDA,RABBIT,LIZARD,BEAVER,MOUSE,RAT,SQUIRREL,SKUNK,KOBOLD,GRIFFIN,DEER,DONKEY,LLAMA,AFRICAN WILD DOG,CARIBOU,CHAMELEON,FENNEC,CANINE,BORDER COLLIE,ARCTIC FOX,GERMAN SHEPHERD,HYENA,OTTER,MANED WOLF,OX,PANTHER,RACCOON,BUNNY,SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creature,2,ALLIGATOR,POKEMON,DIGIMON,CHOCOBO,HELLHOUND,DRAGON,PORCUPINE,GIRAFFE,PENGUIN,SHARK,PROTOGEN,MOOGLE,LOMBAX,FALCON,GECKO,GENET,MEERKAT,MOOSE,ORCA,STOAT,TANUKI,TOUCAN,ZEBRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creature,3,ELEPHANT,BUG,OCTOPUS,FISH,PIG,HAMSTER,CHIPMUNK,SNAKE,WALRUS,SLOTH,OSTRICH,SERGAL,HUMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,1,RED,ORANGE,YELLOW,GREEN,BLUE,PURPLE,GRAY,TWO TONE,COOL COLORS,WARM COLORS,VIBRANT,MUTED,BRIGHT,ANALOGOUS COLORS,COMPLEMENTARY COLORS,DARK,THREE COLORS,TRIADIC COLORS,FIVE COLORS,FOUR COLORS,GOLD,SILVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,2,PSYCHEDELIC,MONOCHROME,IRIDESCENT,METALLIC,WASHED OUT,PASTEL,GLOW IN THE DARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,3,BLACK AND WHITE,GLOWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setting,1,MOUNTAIN,RIVER,FORGE,TEMPLE,UNDERWATER,DEEP SEA,SPACE,ASTEROID,JUNGLE,FOREST,FIELD,CAVE,BARN,INDOORS,FANCY ROOM,HOARDER ROOM,KITCHEN,BEDROOM,BATHROOM,LIBRARY,BATH HOUSE,HOT SPRINGS,POOL,BILLIARDS HALL,BOWLING ALLEY,ARENA,SPORTS FIELD,WATERFALL,CANYONS,CRATER,MOON,MAGICAL REALM,CARNIVAL,GARDEN,WOODS,SPIRIT REALM,CAVERN,UNDERGROUND LAKE,BOAT,OCEAN,ISLAND,BEACH,HAUNTED HOUSE,SHIPWRECK,BANK,ROCKY BEACH,CLIFFS,DISTANT,COTTAGE,AIRPLANE,CAR,GAS STATION,CONVENIENCE STORE,CORN FIELD,NEST,PARTY,ELEGANT,CYBERPUNK,STEAMPUNK,CITY,DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modifiers,1,HYBRID,GOO,ROBOTIC,INFLATABLE,PLANT,TAUR,TRANSFORMATION,WINGS,PIERCINGS,FOOD,CANDY GURO,LATEX,RUBBER,MAGICAL,DEMONIC,GHOST,ALIEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Style,1,ART FROM AROUND THE WORLD,PSYCHEDELIC ART,SYNCHROMISM,IMPRESSIONISM,MINIMALISM,GRAFFITI STYLE,WATERCOLOR,PAINTED,PATTERNED,SHAPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Style,2,ART DECO,ANCIENT ART,BAROQUE,ABSTRACT ART,EXPRESSIONISM,FAUVISM,GLITCH ART,CUBISM,SURREALISM,PIXEL ART,POP ART,ROMANTICISM,STREET ART,SUPER FLAT,SUPREMATISM,TONALISM,GLITTER,INK,COLOR PENCIL,CRAYON,MANNERISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
